id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
702,Tammy Abraham,34,2233,15,18.082801550626755,3,2.9130481593310833,88,21,2,0,F S,Chelsea,15,18.082801550626755,19.841919753700495,1.5461508873850107
700,Willian,36,2609,9,8.135337460786104,7,8.679427238181233,71,76,4,0,F M S,Chelsea,5,5.0906621143221855,18.40935368090868,10.227612223476171
2662,Christian Pulisic,25,1738,9,8.925186410546303,4,4.29607973434031,63,30,0,0,F M S,Chelsea,9,8.925186410546303,16.746663495898247,7.069776656106114
502,Olivier Giroud,18,1015,8,7.400897581130266,0,1.3883666470646858,39,8,1,0,F S,Chelsea,8,7.400897581130266,9.754190690815449,2.3567660972476006
7768,Mason Mount,37,2894,7,7.497830409556627,5,5.258456766605377,78,52,3,0,F M S,Chelsea,7,7.497830409556627,16.87500463053584,8.520663106814027
1389,Jorginho,31,2391,4,3.097004123032093,2,2.916516068391502,12,23,10,0,M S,Chelsea,1,0.8134975954890251,15.918048471212387,14.992466654628515
1621,Marcos Alonso,18,1436,4,2.5468264957889915,2,2.9914873391389847,30,25,4,0,D M S,Chelsea,4,2.5468264957889915,10.606778636574745,7.1116813570261
751,N&#039;Golo Kanté,22,1733,3,1.5439129555597901,0,1.5202719774097204,18,27,4,0,M S,Chelsea,3,1.5439129555597901,7.209238461218774,4.837984517216682
681,César Azpilicueta,36,3234,2,2.5943444352597,6,6.033903408795595,29,45,1,0,D M,Chelsea,2,2.5943444352597,18.327020969241858,14.643176596611738
1822,Antonio Rüdiger,20,1710,2,0.9304546974599361,0,1.1775134578347206,12,5,3,0,D S,Chelsea,2,0.9304546974599361,6.220131253823638,6.190619096159935
592,Ross Barkley,21,1100,1,2.8449643328785896,4,2.860243557021022,40,24,0,0,M S,Chelsea,1,2.8449643328785896,10.34183406084776,6.369961686432362
687,Pedro,11,661,1,2.4724749960005283,1,1.0707551576197147,22,17,1,0,F M S,Chelsea,1,2.4724749960005283,4.754026403650641,1.5569444578140974
703,Fikayo Tomori,15,1299,1,0.562975381501019,0,0.11987660080194473,7,4,3,0,D,Chelsea,1,0.562975381501019,5.061155995354056,4.995166843757033
1678,Michy Batshuayi,16,194,1,3.038818970322609,1,0.202503627166152,15,3,0,0,F S,Chelsea,1,3.038818970322609,3.1288072522729635,0.22043078392744064
2254,Mateo Kovacic,31,2086,1,0.9726598635315895,3,1.8484531957656145,21,28,8,0,M S,Chelsea,1,0.9726598635315895,10.112222500145435,9.035377033054829
6456,Callum Hudson-Odoi,22,816,1,2.0151429465040565,5,2.7081663236021996,21,20,1,0,F M S,Chelsea,1,2.0151429465040565,7.247335624881089,3.8470644149929285
200,Andreas Christensen,21,1758,0,0.6141439899802208,0,0.8512690179049969,7,4,5,0,D,Chelsea,0,0.6141439899802208,6.598435763269663,6.253279689699411
624,Willy Caballero,5,450,0,0,0,0,0,0,0,0,GK,Chelsea,0,0,0.14698056690394878,0.14698056690394878
688,Ruben Loftus-Cheek,7,195,0,0.5446935053914785,1,0.523468554019928,4,1,0,0,F M S,Chelsea,0,0.5446935053914785,1.6199395582079887,0.5517775025218725
935,Kurt Zouma,28,2340,0,1.4697095267474651,0,0.12191382795572281,15,1,6,0,D S,Chelsea,0,1.4697095267474651,9.402101983316243,9.392717805691063
1245,Emerson,15,1019,0,1.099134435877204,0,1.687928706407547,13,19,3,0,D M S,Chelsea,0,1.099134435877204,6.990983001887798,5.515447676181793
5061,Kepa,33,2970,0,0,0,0,0,0,0,0,GK,Chelsea,0,0,5.265830475836992,5.265830475836992
7988,Billy Gilmour,6,190,0,0.028427353128790855,0,0.18802570179104805,1,4,0,0,M S,Chelsea,0,0.028427353128790855,1.9261479154229164,1.7381222993135452
8067,Reece James,24,1512,0,0.8192670866847038,2,3.181412562727928,18,25,1,0,D M S,Chelsea,0,0.8192670866847038,7.329804062843323,6.2092578522861
8226,Tariq Lamptey,1,26,0,0,0,0.06915584951639175,0,1,0,0,S,Chelsea,0,0,0.06915584951639175,0
8383,Faustino Anjorin,1,19,0,0.016682621091604233,0,0,1,0,0,0,S,Chelsea,0,0.016682621091604233,0.016682621091604233,0
8384,Armando Broja,1,4,0,0,0,0,0,0,0,0,S,Chelsea,0,0,0.020872782915830612,0.020872782915830612
